,acq_date,fires,frp,scan,brightness,max_t_syd,max_t_bne
0.0,2000-11-01,104.0,17572.6,195.4,357.9826923076923,22.8,27.0
1.0,2000-11-02,211.0,45603.4,307.3,351.1123222748815,22.3,24.0
2.0,2000-11-03,181.0,27439.3,325.8,353.11767955801105,23.8,26.0
3.0,2000-11-04,239.0,29887.1,299.7,361.59916317991633,23.0,28.0
4.0,2000-11-05,43.0,7193.7,92.0,347.1813953488372,21.4,28.0
5.0,2000-11-06,135.0,24812.0,180.1,366.79555555555555,22.3,28.0
6.0,2000-11-07,65.0,18001.5,122.2,359.02923076923076,20.2,26.0
7.0,2000-11-08,275.0,24919.5,313.5,355.2447272727273,21.9,25.0
8.0,2000-11-09,49.0,6214.8,87.9,346.55510204081634,22.2,25.0
9.0,2000-11-10,196.0,20254.6,253.8,356.1397959183673,23.4,26.0
10.0,2000-11-11,109.0,17322.4,185.5,352.7550458715597,23.7,25.0
11.0,2000-11-12,150.0,37282.6,274.0,361.80466666666666,24.0,26.0
12.0,2000-11-13,109.0,21141.5,160.6,361.9779816513761,23.7,22.0
13.0,2000-11-14,53.0,22842.7,153.0,362.24528301886795,18.2,25.0
14.0,2000-11-15,114.0,18597.8,158.6,361.6070175438596,19.8,24.0
15.0,2000-11-16,89.0,19364.1,127.5,356.7865168539326,19.6,25.0
16.0,2000-11-17,84.0,12205.0,151.5,352.20238095238096,24.4,25.0
17.0,2000-11-18,141.0,15683.8,188.4,349.58936170212763,22.0,26.0
18.0,2000-11-19,99.0,21980.5,307.0,340.8767676767677,22.8,27.0
19.0,2000-11-20,183.0,25794.6,265.6,357.01147540983607,25.6,30.0
20.0,2000-11-21,86.0,32719.7,193.9,356.22441860465113,23.6,25.0
21.0,2000-11-22,97.0,12424.2,162.3,348.7546391752577,23.8,26.0
22.0,2000-11-23,270.0,47617.8,427.1,350.5740740740741,25.4,27.0
23.0,2000-11-24,159.0,26530.3,309.0,353.8729559748428,23.6,27.0
24.0,2000-11-25,110.0,22648.8,176.4,369.8845454545455,25.3,27.0
25.0,2000-11-26,147.0,45871.5,339.2,362.1843537414966,26.3,28.0
26.0,2000-11-27,422.0,114735.4,595.8,362.6184834123223,27.4,28.0
27.0,2000-11-28,73.0,20285.3,214.1,344.93013698630136,26.1,30.0
28.0,2000-11-29,278.0,43168.0,402.2,360.1093525179856,26.1,33.0
29.0,2000-11-30,256.0,54491.2,492.3,348.615234375,33.2,29.0
30.0,2000-12-01,271.0,80215.7,438.5,375.26642066420663,22.4,29.0
31.0,2000-12-02,139.0,16391.2,178.9,351.60287769784173,23.3,28.0
32.0,2000-12-03,148.0,61844.6,329.8,368.2533783783784,23.7,27.0
33.0,2000-12-04,241.0,45656.1,348.9,362.10829875518675,25.2,27.0
34.0,2000-12-05,134.0,40392.5,291.8,352.0223880597015,26.1,27.0
35.0,2000-12-06,205.0,24884.5,258.3,358.21463414634144,26.1,29.0
36.0,2000-12-07,31.0,7290.2,57.6,357.6967741935484,25.0,29.0
37.0,2000-12-08,43.0,6726.1,58.2,368.78139534883724,26.3,30.0
38.0,2000-12-09,70.0,64546.200000000004,234.1,367.91285714285715,22.9,34.0
39.0,2000-12-10,20.0,1978.2,23.3,364.12,25.6,30.0
40.0,2000-12-11,92.0,11840.1,119.7,346.9815217391304,29.9,30.0
41.0,2000-12-12,40.0,9276.1,78.5,358.29,37.8,31.0
42.0,2000-12-13,39.0,6005.5,55.5,366.0,29.2,31.0
43.0,2000-12-14,9.0,1414.3,16.8,345.5,25.1,30.0
44.0,2000-12-15,12.0,3956.1,17.8,386.10833333333335,25.1,27.0
45.0,2000-12-16,21.0,1987.5,29.7,333.2190476190476,27.0,30.0
46.0,2000-12-17,17.0,6343.8,37.5,359.5764705882353,27.5,29.0
47.0,2000-12-18,53.0,5095.0,63.9,351.7056603773585,27.5,29.0
48.0,2000-12-19,45.0,9267.4,74.8,360.4577777777778,27.8,29.0
49.0,2000-12-20,75.0,8953.8,105.7,346.956,30.3,29.0
50.0,2000-12-21,45.0,6447.3,97.7,345.8266666666667,29.4,29.0
51.0,2000-12-22,108.0,12744.9,129.1,358.8425925925926,38.7,29.0
52.0,2000-12-23,60.0,15564.1,111.6,361.03499999999997,27.1,30.0
53.0,2000-12-24,95.0,17991.4,151.0,359.44421052631577,35.5,32.0
54.0,2000-12-25,63.0,12791.5,120.9,355.42063492063494,29.9,33.0
55.0,2000-12-26,110.0,19579.6,177.5,360.99636363636364,30.4,34.0
56.0,2000-12-27,76.0,17952.7,145.0,354.0407894736842,32.8,31.0
57.0,2000-12-28,185.0,28465.3,382.6,349.7735135135135,24.0,25.0
58.0,2000-12-29,496.0,88087.5,682.8000000000001,355.720564516129,24.7,25.0
59.0,2000-12-30,188.0,32005.3,299.2,363.17393617021276,24.2,28.0
60.0,2000-12-31,257.0,43345.6,375.2,356.7548638132296,24.1,28.0
61.0,2001-01-01,200.0,53520.3,390.5,354.29449999999997,26.0,27.0
62.0,2001-01-02,542.0,161064.0,857.8000000000001,370.57767527675276,27.4,28.0
63.0,2001-01-03,279.0,48185.4,443.0,351.4960573476702,29.8,29.0
64.0,2001-01-04,333.0,102089.0,695.4,366.93993993993996,29.4,29.0
65.0,2001-01-05,256.0,71994.1,436.4,370.029296875,30.1,29.0
66.0,2001-01-06,248.0,45350.0,419.4,358.1495967741936,27.5,29.0
67.0,2001-01-07,193.0,27520.8,240.6,363.6860103626943,26.2,31.0
68.0,2001-01-08,158.0,17439.6,241.2,347.2639240506329,26.0,30.0
69.0,2001-01-09,320.0,60578.1,473.2,366.88406249999997,23.3,31.0
70.0,2001-01-10,228.0,31914.9,396.6,344.4973684210526,25.2,29.0
71.0,2001-01-11,329.0,59264.5,487.9,363.95623100303953,26.3,28.0
72.0,2001-01-12,474.0,126860.9,783.6,360.57067510548524,29.1,30.0
73.0,2001-01-13,359.0,53637.0,557.8,358.78690807799444,26.9,31.0
74.0,2001-01-14,265.0,29891.6,382.8,344.72792452830186,27.2,31.0
75.0,2001-01-15,76.0,14972.6,192.4,344.73026315789474,31.9,31.0
76.0,2001-01-16,227.0,34787.8,303.2,362.32555066079294,22.8,31.0
77.0,2001-01-17,93.0,21283.0,189.7,352.27096774193546,24.2,31.0
78.0,2001-01-18,231.0,45266.6,314.4,362.1623376623377,25.2,31.0
79.0,2001-01-19,343.0,96634.1,666.8,359.87930029154523,26.1,29.0
80.0,2001-01-20,354.0,45936.4,489.90000000000003,358.44717514124295,26.7,29.0
81.0,2001-01-21,141.0,41231.5,348.6,352.4794326241135,27.7,30.0
82.0,2001-01-22,404.0,52252.9,534.6,366.1821782178218,29.0,31.0
83.0,2001-01-23,342.0,87472.3,690.8,348.55116959064327,31.2,32.0
84.0,2001-01-24,140.0,25061.0,189.6,370.4692857142857,30.5,30.6
85.0,2001-01-25,47.0,5201.7,74.4,345.50425531914897,30.5,31.0
86.0,2001-01-26,21.0,1698.4,35.5,331.77142857142854,29.8,33.0
87.0,2001-01-27,24.0,3289.4,38.2,349.67083333333335,30.9,34.0
88.0,2001-01-28,24.0,2505.7,30.1,349.5958333333333,24.6,35.0
89.0,2001-01-29,4.0,381.6,9.0,341.95,26.9,33.0
90.0,2001-01-30,16.0,959.3,23.799999999999997,332.08125,25.3,32.0
91.0,2001-01-31,1.0,124.6,1.5,359.1,22.5,27.0
92.0,2001-02-01,8.0,889.8,10.9,354.5,26.2,25.0
93.0,2001-02-02,15.0,633.3,16.6,346.47999999999996,26.0,27.0
94.0,2001-02-03,10.0,3355.1,23.3,365.87,27.4,28.0
