acq_date,fires,frp,scan,brightness,max_t,month_sin,month_cos
0.0,2000-11-01,104.0,17572.6,195.4,357.9826923076923,27.0,-0.5000000000000004,0.8660254037844384
1.0,2000-11-02,211.0,45603.4,307.3,351.1123222748815,24.0,-0.5000000000000004,0.8660254037844384
2.0,2000-11-03,181.0,27439.3,325.8,353.11767955801105,26.0,-0.5000000000000004,0.8660254037844384
3.0,2000-11-04,239.0,29887.1,299.7,361.59916317991633,28.0,-0.5000000000000004,0.8660254037844384
4.0,2000-11-05,43.0,7193.7,92.0,347.1813953488372,28.0,-0.5000000000000004,0.8660254037844384
5.0,2000-11-06,135.0,24812.0,180.1,366.7955555555556,28.0,-0.5000000000000004,0.8660254037844384
6.0,2000-11-07,65.0,18001.5,122.2,359.0292307692308,26.0,-0.5000000000000004,0.8660254037844384
7.0,2000-11-08,275.0,24919.5,313.5,355.2447272727273,25.0,-0.5000000000000004,0.8660254037844384
8.0,2000-11-09,49.0,6214.8,87.9,346.55510204081634,25.0,-0.5000000000000004,0.8660254037844384
9.0,2000-11-10,196.0,20254.6,253.8,356.1397959183673,26.0,-0.5000000000000004,0.8660254037844384
10.0,2000-11-11,109.0,17322.4,185.5,352.7550458715597,25.0,-0.5000000000000004,0.8660254037844384
11.0,2000-11-12,150.0,37282.6,274.0,361.80466666666666,26.0,-0.5000000000000004,0.8660254037844384
12.0,2000-11-13,109.0,21141.5,160.6,361.9779816513761,22.0,-0.5000000000000004,0.8660254037844384
13.0,2000-11-14,53.0,22842.7,153.0,362.245283018868,25.0,-0.5000000000000004,0.8660254037844384
14.0,2000-11-15,114.0,18597.8,158.6,361.6070175438596,24.0,-0.5000000000000004,0.8660254037844384
15.0,2000-11-16,89.0,19364.1,127.5,356.7865168539326,25.0,-0.5000000000000004,0.8660254037844384
16.0,2000-11-17,84.0,12205.0,151.5,352.20238095238096,25.0,-0.5000000000000004,0.8660254037844384
17.0,2000-11-18,141.0,15683.8,188.4,349.58936170212763,26.0,-0.5000000000000004,0.8660254037844384
18.0,2000-11-19,99.0,21980.5,307.0,340.8767676767677,27.0,-0.5000000000000004,0.8660254037844384
19.0,2000-11-20,183.0,25794.6,265.6,357.01147540983607,30.0,-0.5000000000000004,0.8660254037844384
20.0,2000-11-21,86.0,32719.7,193.9,356.22441860465113,25.0,-0.5000000000000004,0.8660254037844384
21.0,2000-11-22,97.0,12424.2,162.3,348.7546391752577,26.0,-0.5000000000000004,0.8660254037844384
22.0,2000-11-23,270.0,47617.8,427.1,350.5740740740741,27.0,-0.5000000000000004,0.8660254037844384
