acq_date,fire_area,soi,max_t_bne,max_t_mel,max_t_cns,max_t_pth,max_t_syd
2000-11-10,515.9300000000001,22.4,26.0,19.7,28.8,23.7,24.0
2000-11-11,592.95,22.4,25.0,20.2,26.9,31.3,23.5
2000-11-12,730.74,22.4,26.0,20.6,28.6,34.1,23.9
2000-11-13,471.52000000000004,22.4,22.0,23.0,29.3,32.7,22.2
2000-11-14,498.83,22.4,25.0,24.9,28.5,32.0,18.5
2000-11-15,354.27000000000004,22.4,24.0,26.1,29.5,37.3,20.2
2000-11-16,302.96,22.4,25.0,24.1,29.7,26.5,20.3
2000-11-17,457.7800000000001,22.4,25.0,25.5,30.9,24.5,25.6
2000-11-18,406.14,22.4,26.0,27.7,32.1,27.4,20.2
2000-11-19,844.9000000000002,22.4,27.0,26.6,31.1,28.9,22.0
2000-11-20,544.7600000000001,22.4,30.0,24.3,31.3,27.1,22.6
2000-11-21,726.44,22.4,25.0,20.0,31.8,29.5,23.6
2000-11-22,403.78999999999996,22.4,26.0,19.8,33.5,33.8,24.6
2000-11-23,1028.44,22.4,27.0,20.2,33.6,26.1,26.6
2000-11-24,931.42,22.4,27.0,21.0,28.3,23.9,24.2
2000-11-25,529.2500000000001,22.4,27.0,30.1,27.8,26.1,24.1
2000-11-26,974.9899999999999,22.4,28.0,27.8,30.4,22.8,27.0
2000-11-27,1131.4299999999998,22.4,28.0,27.0,28.0,21.6,25.0
2000-11-28,808.07,22.4,30.0,32.9,30.4,22.5,27.0
2000-11-29,868.4599999999999,22.4,33.0,22.5,29.7,23.8,26.5
2000-11-30,1548.9199999999998,22.4,29.0,24.7,29.7,28.6,34.2
2000-12-10,115.96999999999998,7.7,30.0,30.8,28.7,29.0,26.3
2000-12-11,280.94,7.7,30.0,31.0,28.8,30.9,32.7
2000-12-12,252.01000000000002,7.7,31.0,24.9,25.7,34.7,37.6
2000-12-13,142.67999999999998,7.7,31.0,22.6,28.8,32.2,28.1
2000-12-14,44.64,7.7,30.0,22.2,29.8,34.3,23.6
2000-12-15,57.88,7.7,27.0,24.6,29.5,35.6,25.5
2000-12-16,67.21,7.7,30.0,28.3,29.9,27.6,25.5
2000-12-17,163.78999999999996,7.7,29.0,35.7,30.9,31.0,27.2
2000-12-18,117.70999999999998,7.7,29.0,27.0,29.6,29.8,29.1
2000-12-19,216.53,7.7,29.0,33.5,27.7,28.0,28.1
2000-12-20,246.29,7.7,29.0,28.3,28.0,22.6,32.9
2000-12-21,259.81,7.7,29.0,38.0,30.4,20.4,31.6
2000-12-22,294.1500000000001,7.7,29.0,26.3,30.3,22.0,39.4
2000-12-23,416.75000000000006,7.7,30.0,25.2,29.8,27.9,28.7
2000-12-24,368.56,7.7,32.0,23.3,30.0,34.8,36.5
2000-12-25,450.04,7.7,33.0,22.4,29.5,37.6,34.4
2000-12-26,432.25,7.7,34.0,23.2,29.7,38.3,32.7
2000-12-27,444.30999999999995,7.7,31.0,16.4,31.1,40.3,34.2
2000-12-28,888.6099999999999,7.7,25.0,17.1,30.7,28.0,23.8
2000-12-29,1265.21,7.7,25.0,18.9,30.8,23.6,25.0
2000-12-30,718.5799999999999,7.7,28.0,19.1,29.4,26.8,23.8
2000-12-31,871.77,7.7,28.0,29.2,31.1,28.5,23.8
2001-10-10,1644.8600000000001,-1.9,25.0,22.4,31.1,18.5,20.9
2001-10-11,963.12,-1.9,25.0,16.8,30.3,20.3,18.9
2001-10-12,435.33,-1.9,31.0,16.1,30.7,18.7,24.4
2001-10-13,614.03,-1.9,29.0,17.3,29.0,20.3,26.1
2001-10-14,473.0,-1.9,29.0,14.5,29.3,20.4,22.2
2001-10-15,478.61,-1.9,27.0,18.3,29.8,21.0,21.0
2001-10-16,982.1,-1.9,27.0,17.4,30.2,20.8,23.4
2001-10-17,539.23,-1.9,22.0,18.5,30.4,24.4,25.7
2001-10-18,715.77,-1.9,29.0,14.2,32.1,28.1,26.9
2001-10-19,596.01,-1.9,30.0,13.5,31.8,24.7,20.5
